Dreams & Nightmares Case
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)
Stockholm 2021 Mirage Souvenir Package
StatTrak™ XM1014 | Oxide Blaze (Well-Worn)
Sticker | iBUYPOWER | Cologne 2014
★ StatTrak™ Butterfly Knife | Damascus Steel (Minimal Wear)
UMP-45 | Gold Bismuth (Factory New)
StatTrak™ P2000 | Wicked Sick (Field-Tested)
AUG | Spalted Wood (Field-Tested)
MP9 | Food Chain (Factory New)
MP5-SD | Oxide Oasis (Field-Tested)
StatTrak™ P90 | Shapewood (Factory New)
MAC-10 | Amber Fade (Minimal Wear)
SG 553 | Barricade (Field-Tested)
XM1014 | Bone Machine (Factory New)
★ Sport Gloves | Slingshot (Battle-Scarred)
★ Falchion Knife | Lore (Minimal Wear)
StatTrak™ PP-Bizon | Blue Streak (Well-Worn)
★ Flip Knife | Fade (Factory New)
★ Navaja Knife | Safari Mesh (Battle-Scarred)
★ StatTrak™ Skeleton Knife | Boreal Forest (Field-Tested)
PP-Bizon | Bamboo Print (Minimal Wear)
StatTrak™ MP7 | Abyssal Apparition (Well-Worn)
★ StatTrak™ Paracord Knife | Case Hardened (Well-Worn)
Sticker | MOUZ (Gold) | Paris 2023
StatTrak™ Glock-18 | Oxide Blaze (Factory New)
Dual Berettas | Shred (Minimal Wear)
Negev | Lionfish (Battle-Scarred)
USP-S | Blueprint (Battle-Scarred)
UMP-45 | Labyrinth (Well-Worn)
Sticker | ESL One Cologne 2014 (Red)
UMP-45 | Full Stop (Field-Tested)
★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear)
StatTrak™ AUG | Arctic Wolf (Field-Tested)
StatTrak™ AUG | Momentum (Well-Worn)
Souvenir PP-Bizon | Carbon Fiber (Minimal Wear)
StatTrak™ UMP-45 | Arctic Wolf (Minimal Wear)
StatTrak™ CZ75-Auto | Pole Position (Well-Worn)
Sticker | rain (Holo) | Paris 2023
Sticker | Lucaozy (Gold) | Paris 2023
Sticker | acoR (Gold) | Paris 2023
MP7 | Powercore (Minimal Wear)
Sticker | acoR (Gold) | Paris 2023
MP7 | Powercore (Minimal Wear)
StatTrak™ M4A1-S | Basilisk (Minimal Wear)
StatTrak™ XM1014 | Black Tie (Minimal Wear)
★ Flip Knife | Damascus Steel (Minimal Wear)
★ Flip Knife | Scorched (Battle-Scarred)
Sticker | FaZe Clan | Boston 2018
★ Stiletto Knife | Crimson Web (Battle-Scarred)
Sticker | Team Spirit (Glitter) | Rio 2022
StatTrak™ Desert Eagle | Bronze Deco (Well-Worn)
StatTrak™ M4A4 | Neo-Noir (Battle-Scarred)
Dual Berettas | Cartel (Well-Worn)
★ Nomad Knife | Slaughter (Factory New)
P250 | Nuclear Threat (Field-Tested)
CZ75-Auto | Yellow Jacket (Minimal Wear)
★ Butterfly Knife | Freehand (Well-Worn)
StatTrak™ AUG | Death by Puppy (Minimal Wear)
FAMAS | Waters of Nephthys (Field-Tested)
AK-47 | Black Laminate (Field-Tested)
M4A1-S | Night Terror (Well-Worn)
Sticker | Watermelon Flow (Holo)
StatTrak™ AUG | Momentum (Minimal Wear)
StatTrak™ M249 | Downtown (Battle-Scarred)
StatTrak™ R8 Revolver | Junk Yard (Well-Worn)
Train Pin
Desert Eagle | Urban Rubble (Well-Worn)
Sticker | Flipsid3 Tactics | Atlanta 2017
Sticker | Dust FA (Foil)
CZ75-Auto | Emerald (Factory New)
Sticker | Defuse It (Holo)
R8 Revolver | Banana Cannon (Factory New)
Sticker | Silver (Foil)
Sticker | Master Guardian (Holo)
Sticker | Master Guardian Elite (Holo)
Sticker | Gold Nova (Holo)
Sticker | Legendary Eagle Master (Holo)
Sticker | Supreme Master First Class (Holo)
★ Butterfly Knife | Damascus Steel (Factory New)
StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested)
StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested)
Sticker | GODSENT (Holo) | 2020 RMR
Sticker | Broken Fang
StatTrak™ Glock-18 | Sacrifice (Battle-Scarred)
Tec-9 | Avalanche (Battle-Scarred)
★ Butterfly Knife | Boreal Forest (Field-Tested)
★ Talon Knife | Rust Coat (Battle-Scarred)
★ M9 Bayonet | Safari Mesh (Field-Tested)
P2000 | Space Race (Minimal Wear)
★ Bayonet | Forest DDPAT (Battle-Scarred)
Glock-18 | Reactor (Well-Worn)
★ StatTrak™ Stiletto Knife | Damascus Steel (Factory New)
MP7 | Nemesis (Factory New)
M4A1-S | Emphorosaur-S (Well-Worn)
Souvenir Galil AR | Cerberus (Minimal Wear)
★ Falchion Knife | Slaughter (Factory New)
Inferno 2 Pin
Nova | Sobek's Bite (Minimal Wear)
StatTrak™ MP9 | Ruby Poison Dart (Minimal Wear)
Sticker | siuhy (Holo) | Paris 2023
★ Shadow Daggers | Fade (Minimal Wear)
StatTrak™ Galil AR | Stone Cold (Factory New)
StatTrak™ M4A1-S | Decimator (Factory New)
Sticker | v$m (Gold) | Paris 2023
★ Specialist Gloves | Tiger Strike (Well-Worn)
★ Nomad Knife | Blue Steel (Field-Tested)
StatTrak™ AK-47 | Legion of Anubis (Battle-Scarred)
StatTrak™ M4A4 | 龍王 (Dragon King) (Battle-Scarred)
M4A4 | Desert-Strike (Well-Worn)
StatTrak™ AWP | Wildfire (Factory New)
MAC-10 | Stalker (Well-Worn)
AWP | Sun in Leo (Well-Worn)
StatTrak™ R8 Revolver | Crimson Web (Battle-Scarred)
★ Moto Gloves | Smoke Out (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Rust Coat (Battle-Scarred)
★ StatTrak™ Karambit | Autotronic (Minimal Wear)
StatTrak™ MP5-SD | Desert Strike (Minimal Wear)
StatTrak™ FAMAS | Rapid Eye Movement (Well-Worn)
StatTrak™ SSG 08 | Parallax (Battle-Scarred)
StatTrak™ SCAR-20 | Powercore (Minimal Wear)
Desert Eagle | Directive (Well-Worn)
Sticker | Natus Vincere | Katowice 2015
StatTrak™ MP7 | Skulls (Field-Tested)
MAG-7 | Chainmail (Factory New)
★ Falchion Knife | Crimson Web (Field-Tested)
Sticker | Countdown (Holo)
AK-47 | Fire Serpent (Field-Tested)
★ Shadow Daggers | Forest DDPAT (Minimal Wear)
CZ75-Auto | Victoria (Factory New)
Sticker | Copenhagen Flames (Foil) | Stockholm 2021
★ Talon Knife | Safari Mesh (Battle-Scarred)
Sealed Graffiti | Little EZ (Tiger Orange)
Sticker | gxx- (Gold) | Paris 2023
★ StatTrak™ M9 Bayonet | Black Laminate (Battle-Scarred)
★ Shadow Daggers | Autotronic (Minimal Wear)
Souvenir MAC-10 | Nuclear Garden (Well-Worn)
StatTrak™ Five-SeveN | Fowl Play (Well-Worn)
StatTrak™ P2000 | Imperial Dragon (Battle-Scarred)
Souvenir MAC-10 | Case Hardened (Battle-Scarred)
★ Paracord Knife | Fade (Factory New)
Music Kit | Freaky DNA, Vici
Sticker | Inferno Diorama (Foil)
★ Flip Knife | Slaughter (Minimal Wear)
Sticker | Clutchman (Holo)
StatTrak™ AWP | Electric Hive (Factory New)
StatTrak™ M4A1-S | Atomic Alloy (Minimal Wear)
StatTrak™ CZ75-Auto | Red Astor (Well-Worn)
M4A1-S | Guardian (Field-Tested)
P250 | Inferno (Factory New)
★ Moto Gloves | Turtle (Battle-Scarred)
Sticker | Great Wave (Holo)
Street Soldier | Phoenix
PP-Bizon | Judgement of Anubis (Well-Worn)
★ Ursus Knife | Forest DDPAT (Factory New)
G3SG1 | Black Sand (Field-Tested)
StatTrak™ R8 Revolver | Banana Cannon (Minimal Wear)
★ M9 Bayonet | Blue Steel (Minimal Wear)
★ Butterfly Knife | Slaughter (Field-Tested)
Sticker | fame (Gold) | Rio 2022
Sticker | k1to (Gold) | Rio 2022
Sticker | nexa (Gold) | Rio 2022
Sticker | Liazz (Holo) | Antwerp 2022
Sticker | Qikert (Gold) | Stockholm 2021
Sticker | NBK- (Gold) | Berlin 2019
Glock-18 | Nuclear Garden (Well-Worn)
★ Talon Knife | Damascus Steel (Factory New)
'Medium Rare' Crasswater | Guerrilla Warfare
G3SG1 | Flux (Battle-Scarred)
Sealed Graffiti | Puke (Cash Green)
Glock-18 | Snack Attack (Battle-Scarred)
MAG-7 | Bulldozer (Minimal Wear)
P90 | Virus (Field-Tested)
★ Navaja Knife
StatTrak™ P250 | Mehndi (Well-Worn)
AK-47 | Green Laminate (Well-Worn)
StatTrak™ M4A4 | Faded Zebra (Battle-Scarred)
AK-47 | Green Laminate (Minimal Wear)
★ Hand Wraps | Spruce DDPAT (Field-Tested)
★ Survival Knife | Slaughter (Factory New)
StatTrak™ MP5-SD | Phosphor (Minimal Wear)
StatTrak™ MAG-7 | Justice (Minimal Wear)
MP9 | Hydra (Minimal Wear)
StatTrak™ UMP-45 | Momentum (Minimal Wear)
StatTrak™ Sawed-Off | Devourer (Minimal Wear)
StatTrak™ PP-Bizon | Jungle Slipstream (Field-Tested)
Sticker | jks (Foil) | Berlin 2019
Galil AR | Sugar Rush (Minimal Wear)
StatTrak™ Dual Berettas | Dualing Dragons (Well-Worn)
PP-Bizon | Judgement of Anubis (Battle-Scarred)
★ Stiletto Knife | Blue Steel (Well-Worn)
Sticker | Titan | Katowice 2015
Sticker | PENTA Sports (Holo) | Katowice 2015
Souvenir MAC-10 | Case Hardened (Factory New)
AK-47 | X-Ray (Well-Worn)
Souvenir Tec-9 | Brass (Minimal Wear)
P90 | Death by Kitty (Field-Tested)
P2000 | Ocean Foam (Factory New)
M4A4 | Hellfire (Factory New)
★ Specialist Gloves | Fade (Battle-Scarred)
★ Karambit | Case Hardened (Battle-Scarred)
Sticker | Natus Vincere (Holo) | Boston 2018
Sticker | Natus Vincere (Holo) | Boston 2018
Sticker | Space Soldiers (Holo) | Boston 2018
MAG-7 | Heat (Battle-Scarred)
★ Skeleton Knife | Safari Mesh (Battle-Scarred)
StatTrak™ UMP-45 | Wild Child (Field-Tested)
★ Butterfly Knife | Blue Steel (Battle-Scarred)
Souvenir Negev | CaliCamo (Battle-Scarred)
★ Shadow Daggers | Gamma Doppler (Minimal Wear)
AWP | Elite Build (Factory New)
M4A4 | Dark Blossom (Factory New)
Antwerp 2022 Challengers Sticker Capsule
Sticker | Grim (Holo) | Antwerp 2022
Sticker | chopper (Holo) | Antwerp 2022
Sticker | sico (Holo) | Antwerp 2022
★ Hand Wraps | Cobalt Skulls (Well-Worn)
★ Karambit | Black Laminate (Minimal Wear)
★ Talon Knife | Case Hardened (Battle-Scarred)
StatTrak™ UMP-45 | Riot (Field-Tested)
StatTrak™ MP7 | Urban Hazard (Battle-Scarred)
StatTrak™ Glock-18 | Oxide Blaze (Well-Worn)
StatTrak™ P90 | Grim (Battle-Scarred)
Sticker | Natus Vincere (Glitter) | Antwerp 2022
★ Nomad Knife | Boreal Forest (Battle-Scarred)
★ Falchion Knife | Safari Mesh (Well-Worn)
AK-47 | Gold Arabesque (Minimal Wear)
Sticker | Seeing Red
StatTrak™ Sawed-Off | The Kraken (Minimal Wear)
StatTrak™ MAC-10 | Neon Rider (Minimal Wear)
Souvenir UMP-45 | Mechanism (Factory New)
★ StatTrak™ Skeleton Knife | Crimson Web (Minimal Wear)
Sticker | Flame Tier6 (Holo)
StatTrak™ SSG 08 | Dragonfire (Minimal Wear)
Galil AR | Dusk Ruins (Factory New)
StatTrak™ Five-SeveN | Fairy Tale (Factory New)
StatTrak™ AUG | Plague (Battle-Scarred)
StatTrak™ MAC-10 | Button Masher (Minimal Wear)
StatTrak™ SCAR-20 | Enforcer (Minimal Wear)
Sticker | saffee (Holo) | Paris 2023
SSG 08 | Prey (Minimal Wear)
P250 | Contamination (Minimal Wear)
★ Karambit | Autotronic (Minimal Wear)
StatTrak™ PP-Bizon | Cobalt Halftone (Field-Tested)
StatTrak™ AK-47 | Rat Rod (Minimal Wear)
P2000 | Obsidian (Factory New)
Sticker | Green Gnar
StatTrak™ M4A4 | Spider Lily (Battle-Scarred)
★ Ursus Knife | Slaughter (Minimal Wear)
StatTrak™ AK-47 | Bloodsport (Field-Tested)
StatTrak™ Glock-18 | Water Elemental (Battle-Scarred)
Sticker | s1mple (Holo) | Paris 2023
Sticker | Kylar (Holo) | Paris 2023
MP7 | Akoben (Factory New)
Sticker | ENCE (Holo) | Katowice 2019
Sticker | shox | Atlanta 2017
CZ75-Auto | Polymer (Factory New)
Sticker | Perry
M4A1-S | Hyper Beast (Factory New)
StatTrak™ SCAR-20 | Outbreak (Field-Tested)
StatTrak™ MP9 | Sand Scale (Minimal Wear)
StatTrak™ MP7 | Nemesis (Minimal Wear)
AWP | Electric Hive (Factory New)
MP5-SD | Gauss (Battle-Scarred)
Souvenir P90 | Run and Hide (Field-Tested)
StatTrak™ SG 553 | Darkwing (Factory New)
StatTrak™ R8 Revolver | Banana Cannon (Factory New)
Dual Berettas | Flora Carnivora (Factory New)
StatTrak™ P90 | Cocoa Rampage (Factory New)
StatTrak™ Sawed-Off | Limelight (Factory New)
StatTrak™ PP-Bizon | Osiris (Minimal Wear)
P250 | Inferno (Minimal Wear)
P90 | Schematic (Factory New)
MP9 | Music Box (Factory New)
SG 553 | Desert Blossom (Factory New)
StatTrak™ G3SG1 | Digital Mesh (Factory New)
Sticker | hatz (Holo) | Antwerp 2022
StatTrak™ USP-S | Neo-Noir (Minimal Wear)
StatTrak™ Sawed-Off | Origami (Field-Tested)
StatTrak™ R8 Revolver | Crimson Web (Well-Worn)
★ Karambit | Stained (Minimal Wear)
★ Butterfly Knife | Bright Water (Well-Worn)
StatTrak™ SG 553 | Cyberforce (Factory New)
M4A4 | Cyber Security (Factory New)
★ Butterfly Knife | Lore (Minimal Wear)
★ Hand Wraps | Desert Shamagh (Minimal Wear)
AK-47 | Orbit Mk01 (Well-Worn)
MP5-SD | Nitro (Field-Tested)
Souvenir Tec-9 | Army Mesh (Field-Tested)
P2000 | Lifted Spirits (Factory New)
Music Kit | Scarlxrd, CHAIN$AW.LXADXUT.
SG 553 | Darkwing (Well-Worn)
★ StatTrak™ Classic Knife | Stained (Minimal Wear)
★ StatTrak™ Butterfly Knife | Crimson Web (Minimal Wear)
★ Talon Knife | Forest DDPAT (Battle-Scarred)
P250 | Ripple (Minimal Wear)
Desert Eagle | Code Red (Well-Worn)
XM1014 | Ziggy (Factory New)
★ Shadow Daggers | Black Laminate (Field-Tested)
★ Flip Knife | Lore (Field-Tested)
Desert Eagle | Oxide Blaze (Battle-Scarred)
StatTrak™ M4A1-S | Leaded Glass (Factory New)
★ Skeleton Knife | Slaughter (Field-Tested)
StatTrak™ AWP | Duality (Well-Worn)
Sticker | Natus Vincere | Cologne 2014
★ Paracord Knife | Crimson Web (Well-Worn)
StatTrak™ USP-S | Monster Mashup (Field-Tested)
AWP | Medusa (Battle-Scarred)
★ Survival Knife | Safari Mesh (Well-Worn)
★ M9 Bayonet | Bright Water (Field-Tested)
PP-Bizon | Death Rattle (Minimal Wear)
Tec-9 | Remote Control (Well-Worn)
StatTrak™ M4A1-S | Player Two (Battle-Scarred)
Sticker | drop (Gold) | Paris 2023
Sticker | juanflatroo (Holo) | Paris 2023
Souvenir Glock-18 | Night (Field-Tested)
Sticker | rain | Katowice 2019
★ Ursus Knife | Ultraviolet (Well-Worn)
Stockholm 2021 Ancient Souvenir Package
★ Bayonet | Crimson Web (Battle-Scarred)
StatTrak™ MP7 | Powercore (Factory New)
StatTrak™ G3SG1 | Hunter (Minimal Wear)
Sticker | b1t (Holo) | Antwerp 2022
AWP | Lightning Strike (Minimal Wear)
★ Moto Gloves | Boom! (Field-Tested)
Dual Berettas | Switch Board (Field-Tested)
StatTrak™ AUG | Momentum (Factory New)
StatTrak™ Nova | Toy Soldier (Factory New)
★ M9 Bayonet | Forest DDPAT (Field-Tested)
M4A4 | Jungle Tiger (Minimal Wear)
MAG-7 | Core Breach (Minimal Wear)
StatTrak™ AWP | Worm God (Well-Worn)
★ Huntsman Knife | Freehand (Factory New)
★ Flip Knife | Stained (Well-Worn)
★ Bowie Knife | Ultraviolet (Field-Tested)
★ Gut Knife | Autotronic (Well-Worn)
StatTrak™ FAMAS | Commemoration (Factory New)
★ Sport Gloves | Amphibious (Battle-Scarred)
StatTrak™ M4A4 | X-Ray (Minimal Wear)
P90 | Emerald Dragon (Factory New)
StatTrak™ M4A4 | Temukau (Field-Tested)
SG 553 | Integrale (Factory New)
★ Hand Wraps | Cobalt Skulls (Field-Tested)
Nova | Rust Coat (Battle-Scarred)
StatTrak™ P90 | Neoqueen (Minimal Wear)
Tec-9 | Toxic (Field-Tested)
StatTrak™ G3SG1 | Dream Glade (Factory New)
★ Skeleton Knife | Stained (Minimal Wear)
★ Stiletto Knife | Stained (Field-Tested)
★ Karambit | Night (Field-Tested)
StatTrak™ AK-47 | Rat Rod (Battle-Scarred)
★ Falchion Knife | Autotronic (Battle-Scarred)
StatTrak™ Desert Eagle | Bronze Deco (Battle-Scarred)
Sticker | ZywOo (Foil) | Katowice 2019
Sticker | MIBR (Gold) | Antwerp 2022
StatTrak™ AK-47 | Frontside Misty (Factory New)
Sticker | NiKo (Foil) | Katowice 2019
FAMAS | Sergeant (Minimal Wear)
★ Classic Knife | Scorched (Field-Tested)
★ Gut Knife | Bright Water (Minimal Wear)
Five-SeveN | Capillary (Minimal Wear)
AK-47 | Cartel (Well-Worn)
StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear)
Sticker | Hello XM1014
M4A1-S | Mud-Spec (Well-Worn)
★ Flip Knife | Stained (Field-Tested)
StatTrak™ M4A4 | Desert-Strike (Field-Tested)
StatTrak™ M4A1-S | Chantico's Fire (Minimal Wear)
StatTrak™ FAMAS | Survivor Z (Well-Worn)
StatTrak™ SG 553 | Tiger Moth (Battle-Scarred)
StatTrak™ M249 | Magma (Field-Tested)
R8 Revolver | Canal Spray (Minimal Wear)
CZ75-Auto | Army Sheen (Minimal Wear)
★ Driver Gloves | Rezan the Red (Well-Worn)
Nova | Gila (Factory New)
★ Bayonet | Tiger Tooth (Minimal Wear)
R8 Revolver | Blaze (Minimal Wear)
Souvenir P90 | Schematic (Minimal Wear)
Sticker | coldzera | Katowice 2019
Souvenir SCAR-20 | Carbon Fiber (Minimal Wear)
Sticker | GeT_RiGhT (Foil) | Berlin 2019
Sticker | Natus Vincere (Holo) | Berlin 2019
G3SG1 | New Roots (Minimal Wear)
StatTrak™ M249 | Warbird (Field-Tested)
Sticker | olofmeister (Foil) | Berlin 2019
Sticker | tonyblack | Katowice 2019
Sticker | FalleN | Katowice 2019
Sticker | REZ (Holo) | Stockholm 2021
StatTrak™ Nova | Plume (Battle-Scarred)
Sticker | cadiaN (Gold) | Stockholm 2021
★ Navaja Knife | Stained (Battle-Scarred)
M4A1-S | Golden Coil (Minimal Wear)
Sticker | F1KU (Holo) | Paris 2023
MAC-10 | Indigo (Field-Tested)
Five-SeveN | Triumvirate (Well-Worn)
CZ75-Auto | Twist (Minimal Wear)
P2000 | Grassland (Minimal Wear)
★ Broken Fang Gloves | Yellow-banded (Well-Worn)
PP-Bizon | Seabird (Minimal Wear)
Sawed-Off | Jungle Thicket (Minimal Wear)
Souvenir MP9 | Sand Dashed (Well-Worn)
Sticker | OpTic Gaming | London 2018
StatTrak™ XM1014 | Red Python (Minimal Wear)
Five-SeveN | Jungle (Minimal Wear)
P250 | Gunsmoke (Minimal Wear)
Sticker | NEO | Krakow 2017
StatTrak™ Desert Eagle | Ocean Drive (Minimal Wear)
Sticker | IEM (Holo) | Katowice 2019
★ Classic Knife | Crimson Web (Field-Tested)
★ Butterfly Knife | Case Hardened (Well-Worn)
Sawed-Off | Apocalypto (Factory New)
★ Flip Knife | Urban Masked (Field-Tested)
StatTrak™ MAC-10 | Allure (Factory New)
StatTrak™ Five-SeveN | Buddy (Factory New)
StatTrak™ AK-47 | Phantom Disruptor (Well-Worn)
Patch | Alyx
★ Paracord Knife | Night Stripe (Field-Tested)
AK-47 | Fire Serpent (Minimal Wear)
StatTrak™ M4A4 | Cyber Security (Factory New)
Sticker | jks | Berlin 2019
Sticker | sdy (Holo) | Paris 2023
P90 | Glacier Mesh (Field-Tested)
FAMAS | Hexane (Field-Tested)
StatTrak™ G3SG1 | Azure Zebra (Minimal Wear)
FAMAS | Styx (Battle-Scarred)
Glock-18 | Night (Factory New)
FAMAS | Hexane (Minimal Wear)
SSG 08 | Bloodshot (Battle-Scarred)
G3SG1 | Demeter (Field-Tested)
StatTrak™ MP9 | Hydra (Battle-Scarred)
SG 553 | Gator Mesh (Minimal Wear)
P90 | Blind Spot (Minimal Wear)
FAMAS | Commemoration (Well-Worn)
StatTrak™ SG 553 | Cyrex (Battle-Scarred)
PP-Bizon | Carbon Fiber (Factory New)
P2000 | Fire Elemental (Battle-Scarred)
M4A1-S | Cyrex (Battle-Scarred)
StatTrak™ M4A1-S | Decimator (Battle-Scarred)
StatTrak™ AK-47 | Point Disarray (Battle-Scarred)
★ Karambit | Blue Steel (Field-Tested)
★ Falchion Knife | Blue Steel (Well-Worn)
Sticker | Nest Egg
P2000 | Fire Elemental (Battle-Scarred)
M4A1-S | Cyrex (Battle-Scarred)
StatTrak™ M4A1-S | Decimator (Battle-Scarred)
StatTrak™ AK-47 | Point Disarray (Battle-Scarred)
★ Karambit | Blue Steel (Field-Tested)
★ Falchion Knife | Blue Steel (Well-Worn)
Sticker | Nest Egg
StatTrak™ SCAR-20 | Powercore (Field-Tested)
Desert Eagle | Night (Factory New)
★ Bayonet | Lore (Field-Tested)
★ Butterfly Knife | Night (Factory New)
Sticker | 9z Team (Glitter) | Rio 2022
StatTrak™ Glock-18 | Catacombs (Battle-Scarred)
★ Stiletto Knife | Crimson Web (Minimal Wear)
★ Flip Knife | Slaughter (Field-Tested)
★ StatTrak™ Butterfly Knife | Stained (Battle-Scarred)
Sticker | Romanov's Fire (Foil)
StatTrak™ AWP | Graphite (Factory New)
StatTrak™ M4A1-S | Basilisk (Battle-Scarred)
★ Flip Knife | Lore (Battle-Scarred)
Sticker | Easy Peasy
Sticker | f0rest (Foil) | Katowice 2019
Sticker | pyth | Cologne 2016
M4A1-S | Player Two (Factory New)
MP9 | Hypnotic (Factory New)
StatTrak™ R8 Revolver | Crazy 8 (Field-Tested)
Sticker | Watermelon Stabbyfish
Sticker | Ocean Sunset Stabbyfish
Sticker | After Hours Stabbyfish
Sticker | Hidden Hero (Foil)
Sticker | FalleN (Foil) | Berlin 2019
Sticker | rain (Foil) | Berlin 2019
Sticker | Dima | Katowice 2019
Sticker | Boombl4 | Katowice 2019
Sticker | One Shot One Kill
AUG | Navy Murano (Well-Worn)
Sealed Graffiti | Kiss (Blood Red)
StatTrak™ M249 | Aztec (Field-Tested)
Sticker | mousesports (Holo) | Berlin 2019
Sticker | ZywOo | Katowice 2019
Sticker | apEX (Holo, Champion) | Paris 2023
Sticker | Team Liquid (Foil) | Berlin 2019
Sticker | gla1ve (Foil) | Katowice 2019
Sticker | AZR (Foil) | Katowice 2019
Sticker | dephh (Foil) | Katowice 2019
Sticker | jks | Katowice 2019
MP7 | Scorched (Well-Worn)
Sticker | Jame (Foil) | Katowice 2019
Sticker | Fnatic (Holo) | Katowice 2019
Tec-9 | Orange Murano (Minimal Wear)
Sticker | Virtus.pro (Foil) | 2020 RMR
StatTrak™ M4A1-S | Basilisk (Well-Worn)
★ StatTrak™ Karambit | Forest DDPAT (Field-Tested)
Vortigaunt Pin
Nova | Clear Polymer (Well-Worn)
Souvenir M249 | Submerged (Factory New)
★ Karambit | Case Hardened (Field-Tested)
StatTrak™ R8 Revolver | Junk Yard (Factory New)
★ Butterfly Knife | Crimson Web (Minimal Wear)
★ StatTrak™ M9 Bayonet | Black Laminate (Well-Worn)
StatTrak™ P2000 | Obsidian (Field-Tested)
★ Bayonet | Freehand (Field-Tested)
StatTrak™ Glock-18 | Ironwork (Battle-Scarred)
★ Karambit | Freehand (Field-Tested)
StatTrak™ Music Kit | Daniel Sadowski, The 8-Bit Kit
★ Talon Knife | Slaughter (Factory New)
★ StatTrak™ Butterfly Knife | Lore (Field-Tested)
★ Bowie Knife | Freehand (Field-Tested)
Sticker | Tyranids Ravener
★ Bloodhound Gloves | Snakebite (Minimal Wear)
M4A4 | Asiimov (Well-Worn)
CS20 Sticker Capsule
Sticker | Stan
★ Paracord Knife | Boreal Forest (Field-Tested)
Stockholm 2021 Vertigo Souvenir Package
Sticker | Gutted
Sticker | Chicken of the Sky
Sticker | Dead Eye
★ StatTrak™ M9 Bayonet | Stained (Battle-Scarred)
FAMAS | CaliCamo (Field-Tested)
Sticker | Gutted
Sticker | Chicken of the Sky
Sticker | Dead Eye
★ StatTrak™ M9 Bayonet | Stained (Battle-Scarred)
